Date,Singapore,United Kingdom,United States
2021/2/1,100,100,62.5
2021/2/2,100,100,62.5
2021/2/3,100,100,62.5
2021/2/4,100,100,62.5
2021/2/5,100,100,62.5
2021/2/6,100,100,62.5
2021/2/7,100,100,62.5
2021/2/8,100,100,62.5
2021/2/9,100,100,62.5
2021/2/10,100,100,62.5
2021/2/11,100,100,62.5
2021/2/12,100,100,62.5
2021/2/13,100,100,62.5
2021/2/14,100,100,62.5
2021/2/15,100,100,62.5
2021/2/16,100,100,62.5
2021/2/17,100,100,62.5
2021/2/18,100,100,62.5
2021/2/19,100,100,62.5
2021/2/20,100,100,62.5
2021/2/21,100,100,62.5
2021/2/22,100,100,62.5
2021/2/23,100,100,62.5
2021/2/24,100,100,62.5
2021/2/25,100,100,62.5
2021/2/26,100,100,62.5
2021/2/27,100,100,62.5
2021/2/28,100,100,62.5
2021/3/1,100,100,62.5
2021/3/2,100,100,62.5
2021/3/3,100,100,62.5
2021/3/4,100,100,62.5
2021/3/5,100,100,62.5
2021/3/6,100,100,62.5
2021/3/7,100,100,62.5
2021/3/8,100,100,62.5
2021/3/9,100,100,62.5
2021/3/10,100,100,62.5
2021/3/11,100,100,62.5
2021/3/12,100,100,62.5
2021/3/13,100,100,62.5
2021/3/14,100,100,62.5
2021/3/15,100,100,62.5
2021/3/16,100,100,62.5
2021/3/17,100,100,62.5
2021/3/18,100,100,62.5
2021/3/19,100,100,62.5
2021/3/20,100,100,62.5
2021/3/21,100,100,62.5
2021/3/22,100,100,62.5
2021/3/23,100,100,62.5
2021/3/24,100,100,62.5
2021/3/25,100,100,62.5
2021/3/26,100,100,62.5
2021/3/27,100,100,62.5
2021/3/28,100,100,62.5
2021/3/29,100,100,62.5
2021/3/30,100,100,62.5
2021/3/31,100,100,62.5
2021/4/1,100,100,62.5
2021/4/2,100,100,62.5
2021/4/3,100,100,62.5
2021/4/4,100,100,62.5
2021/4/5,100,100,62.5
2021/4/6,100,100,62.5
2021/4/7,100,100,62.5
2021/4/8,100,100,62.5
2021/4/9,100,100,62.5
2021/4/10,100,100,62.5
2021/4/11,100,100,62.5
2021/4/12,100,100,62.5
2021/4/13,100,100,62.5
2021/4/14,100,100,62.5
2021/4/15,100,100,62.5
2021/4/16,100,100,62.5
2021/4/17,100,100,62.5
2021/4/18,100,100,62.5
2021/4/19,100,100,62.5
2021/4/20,100,100,62.5
2021/4/21,100,100,62.5
2021/4/22,100,100,62.5
2021/4/23,100,100,62.5
2021/4/24,100,100,62.5
2021/4/25,100,100,62.5
2021/4/26,100,100,62.5
2021/4/27,100,100,62.5
2021/4/28,100,100,62.5
2021/4/29,100,100,62.5
2021/4/30,100,100,62.5
2021/5/1,100,100,62.5
2021/5/2,100,100,62.5
2021/5/3,100,100,62.5
2021/5/4,100,100,62.5
2021/5/5,100,100,62.5
2021/5/6,100,100,62.5
2021/5/7,100,100,62.5
2021/5/8,100,100,62.5
2021/5/9,100,100,50
2021/5/10,100,100,50
2021/5/11,100,100,50
2021/5/12,100,100,50
2021/5/13,100,100,50
2021/5/14,100,100,50
2021/5/15,100,100,50
2021/5/16,100,100,50
2021/5/17,100,100,50
2021/5/18,100,100,50
2021/5/19,100,100,50
2021/5/20,100,100,50
2021/5/21,100,100,50
2021/5/22,100,100,50
2021/5/23,100,100,50
2021/5/24,100,100,50
2021/5/25,100,100,50
2021/5/26,100,100,50
2021/5/27,100,100,50
2021/5/28,100,100,50
2021/5/29,100,100,50
2021/5/30,100,100,50
2021/5/31,100,100,50
