,Daily New Cases,,owid-covid-data.csv,,,,,Monthly Unempolyment Rate,,,,,Government Response Index,,,,,,,Containment Health Index,,,,,,,Economic Support Index,,,,,,Stringency Index,,
,https://github.com/owid/covid-19-data/tree/master/public/data,,,,,,Region,Singapore,United Kingdom,United States,,,https://github.com/OxCGRT/covid-policy-tracker/tree/master/data/timeseries,,,,,,,,,,,,,,,,,,,,,,
Date,Singapore,United Kingdom,United States,,,,01/2020,2.4,3.9,3.5,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,,Singapore,United Kingdom,United States,,,,Singapore,United Kingdom,United States
2021/1/18,14,37610,143598,,,,,,,,,2021/1/18,65.31,83.96,68.44,,,,2021/1/18,60.36,81.67,69.29,,,,2021/1/18,100,100,62.5,,,2021/1/18,50.93,87.96,71.76
2021/1/19,30,33454,176216,,,,,,,,,2021/1/19,65.31,83.96,68.44,,,,2021/1/19,60.36,81.67,69.29,,,,2021/1/19,100,100,62.5,,,2021/1/19,50.93,87.96,71.76
2021/1/20,40,38992,183261,,,,,,,,,2021/1/20,65.31,83.96,68.44,,,,2021/1/20,60.36,81.67,69.29,,,,2021/1/20,100,100,62.5,,,2021/1/20,50.93,87.96,71.76
2021/1/21,38,37977,193856,,,,,,,,,2021/1/21,65.31,83.96,68.44,,,,2021/1/21,60.36,81.67,69.29,,,,2021/1/21,100,100,62.5,,,2021/1/21,50.93,87.96,71.76
2021/1/22,15,40321,190760,,,,,,,,,2021/1/22,65.31,83.96,68.44,,,,2021/1/22,60.36,81.67,69.29,,,,2021/1/22,100,100,62.5,,,2021/1/22,50.93,87.96,71.76
2021/1/23,10,33652,170759,,,,,,,,,2021/1/23,65.31,83.96,68.44,,,,2021/1/23,60.36,81.67,69.29,,,,2021/1/23,100,100,62.5,,,2021/1/23,50.93,87.96,71.76
2021/1/24,48,30111,131198,,,,,,,,,2021/1/24,65.31,83.96,68.44,,,,2021/1/24,60.36,81.67,69.29,,,,2021/1/24,100,100,62.5,,,2021/1/24,50.93,87.96,71.76
2021/1/25,44,22244,151677,,,,,,,,,2021/1/25,65.31,83.96,68.44,,,,2021/1/25,60.36,81.67,69.29,,,,2021/1/25,100,100,62.5,,,2021/1/25,50.93,87.96,71.76
2021/1/26,14,20167,147626,,,,,,,,,2021/1/26,65.31,83.96,68.44,,,,2021/1/26,60.36,81.67,69.29,,,,2021/1/26,100,100,62.5,,,2021/1/26,50.93,87.96,71.76
2021/1/27,25,25369,153961,,,,,,,,,2021/1/27,66.56,83.96,68.44,,,,2021/1/27,61.79,81.67,69.29,,,,2021/1/27,100,100,62.5,,,2021/1/27,50.93,87.96,71.76
2021/1/28,34,28811,168804,,,,,,,,,2021/1/28,66.56,83.96,68.44,,,,2021/1/28,61.79,81.67,69.29,,,,2021/1/28,100,100,62.5,,,2021/1/28,50.93,87.96,71.76
2021/1/29,24,29145,166613,,,,,,,,,2021/1/29,66.56,83.96,68.44,,,,2021/1/29,61.79,81.67,69.29,,,,2021/1/29,100,100,62.5,,,2021/1/29,50.93,87.96,71.76
2021/1/30,58,23400,142459,,,,,,,,,2021/1/30,66.56,83.96,68.44,,,,2021/1/30,61.79,81.67,69.29,,,,2021/1/30,100,100,62.5,,,2021/1/30,50.93,87.96,71.76
2021/1/31,29,21190,112152,,,,,,,,,2021/1/31,66.56,83.96,68.44,,,,2021/1/31,61.79,81.67,69.29,,,,2021/1/31,100,100,62.5,,,2021/1/31,50.93,87.96,71.76
2021/2/1,29,18668,134975,,,,,,,,,2021/2/1,66.56,83.96,68.44,,,,2021/2/1,61.79,81.67,69.29,,,,2021/2/1,100,100,62.5,,,2021/2/1,50.93,87.96,71.76
2021/2/2,19,16906,115303,,,,,,,,,2021/2/2,66.56,83.96,68.44,,,,2021/2/2,61.79,81.67,69.29,,,,2021/2/2,100,100,62.5,,,2021/2/2,50.93,87.96,71.76
2021/2/3,18,19215,121691,,,,,,,,,2021/2/3,66.56,83.96,66.35,,,,2021/2/3,61.79,81.67,66.9,,,,2021/2/3,100,100,62.5,,,2021/2/3,50.93,87.96,68.06
2021/2/4,22,20734,124006,,,,,,,,,2021/2/4,66.56,83.96,66.35,,,,2021/2/4,61.79,81.67,66.9,,,,2021/2/4,100,100,62.5,,,2021/2/4,50.93,87.96,68.06
2021/2/5,25,19204,134422,,,,,,,,,2021/2/5,66.56,83.96,66.35,,,,2021/2/5,61.79,81.67,66.9,,,,2021/2/5,100,100,62.5,,,2021/2/5,50.93,87.96,68.06
2021/2/6,26,18363,104176,,,,,,,,,2021/2/6,66.56,83.96,66.35,,,,2021/2/6,61.79,81.67,66.9,,,,2021/2/6,100,100,62.5,,,2021/2/6,50.93,87.96,68.06
2021/2/7,24,15904,89746,,,,,,,,,2021/2/7,66.56,83.96,66.35,,,,2021/2/7,61.79,81.67,66.9,,,,2021/2/7,100,100,62.5,,,2021/2/7,50.93,87.96,68.06
2021/2/8,22,14138,90438,,,,,,,,,2021/2/8,66.56,83.96,66.35,,,,2021/2/8,61.79,81.67,66.9,,,,2021/2/8,100,100,62.5,,,2021/2/8,50.93,87.96,68.06
2021/2/9,11,12441,95265,,,,,,,,,2021/2/9,66.56,83.96,66.35,,,,2021/2/9,61.79,81.67,66.9,,,,2021/2/9,100,100,62.5,,,2021/2/9,50.93,87.96,68.06
2021/2/10,15,13077,95250,,,,,,,,,2021/2/10,66.56,83.96,66.35,,,,2021/2/10,61.79,81.67,66.9,,,,2021/2/10,100,100,62.5,,,2021/2/10,50.93,87.96,68.06
2021/2/11,12,13543,105764,,,,,,,,,2021/2/11,66.56,83.96,66.35,,,,2021/2/11,61.79,81.67,66.9,,,,2021/2/11,100,100,62.5,,,2021/2/11,50.93,87.96,68.06
2021/2/12,18,15198,99670,,,,,,,,,2021/2/12,66.56,83.96,66.35,,,,2021/2/12,61.79,81.67,66.9,,,,2021/2/12,100,100,62.5,,,2021/2/12,50.93,87.96,68.06
2021/2/13,9,13355,87219,,,,,,,,,2021/2/13,66.56,83.96,66.35,,,,2021/2/13,61.79,81.67,66.9,,,,2021/2/13,100,100,62.5,,,2021/2/13,50.93,87.96,68.06
2021/2/14,14,10991,65135,,,,,,,,,2021/2/14,66.56,83.96,66.35,,,,2021/2/14,61.79,81.67,66.9,,,,2021/2/14,100,100,62.5,,,2021/2/14,50.93,87.96,68.06
2021/2/15,9,9776,54279,,,,,,,,,2021/2/15,66.56,83.96,66.35,,,,2021/2/15,61.79,81.67,66.9,,,,2021/2/15,100,100,62.5,,,2021/2/15,50.93,87.96,68.06
2021/2/16,1,10636,62498,,,,,,,,,2021/2/16,66.56,83.96,66.35,,,,2021/2/16,61.79,81.67,66.9,,,,2021/2/16,100,100,62.5,,,2021/2/16,50.93,87.96,68.06
2021/2/17,11,12760,70139,,,,,,,,,2021/2/17,66.56,83.96,66.35,,,,2021/2/17,61.79,81.67,66.9,,,,2021/2/17,100,100,62.5,,,2021/2/17,50.93,87.96,68.06
2021/2/18,11,12095,69911,,,,,,,,,2021/2/18,66.56,83.96,66.35,,,,2021/2/18,61.79,81.67,66.9,,,,2021/2/18,100,100,62.5,,,2021/2/18,50.93,87.96,68.06
2021/2/19,14,12099,79282,,,,,,,,,2021/2/19,66.56,83.96,66.35,,,,2021/2/19,61.79,81.67,66.9,,,,2021/2/19,100,100,62.5,,,2021/2/19,50.93,87.96,68.06
2021/2/20,12,10453,71608,,,,,,,,,2021/2/20,66.56,83.96,66.35,,,,2021/2/20,61.79,81.67,66.9,,,,2021/2/20,100,100,62.5,,,2021/2/20,50.93,87.96,68.06
2021/2/21,11,9835,57161,,,,,,,,,2021/2/21,66.56,83.96,66.35,,,,2021/2/21,61.79,81.67,66.9,,,,2021/2/21,100,100,62.5,,,2021/2/21,50.93,87.96,68.06
2021/2/22,10,10659,56151,,,,,,,,,2021/2/22,66.56,81.88,66.35,,,,2021/2/22,61.79,79.29,66.9,,,,2021/2/22,100,100,62.5,,,2021/2/22,50.93,86.11,68.06
2021/2/23,4,8523,72278,,,,,,,,,2021/2/23,66.56,81.88,66.35,,,,2021/2/23,61.79,79.29,66.9,,,,2021/2/23,100,100,62.5,,,2021/2/23,50.93,86.11,68.06
2021/2/24,7,9947,74736,,,,,,,,,2021/2/24,66.56,81.88,66.35,,,,2021/2/24,61.79,79.29,66.9,,,,2021/2/24,100,100,62.5,,,2021/2/24,50.93,86.11,68.06
2021/2/25,10,10020,77514,,,,,,,,,2021/2/25,66.56,81.88,66.35,,,,2021/2/25,61.79,79.29,66.9,,,,2021/2/25,100,100,62.5,,,2021/2/25,50.93,86.11,68.06
2021/2/26,13,8588,77333,,,,,,,,,2021/2/26,66.56,81.88,66.35,,,,2021/2/26,61.79,79.29,66.9,,,,2021/2/26,100,100,62.5,,,2021/2/26,50.93,86.11,68.06
2021/2/27,12,7457,64644,,,,,,,,,2021/2/27,66.56,81.88,67.6,,,,2021/2/27,61.79,79.29,68.33,,,,2021/2/27,100,100,62.5,,,2021/2/27,50.93,86.11,68.06
2021/2/28,11,6055,51419,,,,,,,,,2021/2/28,66.56,81.88,67.6,,,,2021/2/28,61.79,79.29,68.33,,,,2021/2/28,100,100,62.5,,,2021/2/28,50.93,86.11,68.06
2021/3/1,12,5462,58099,,,,,,,,,2021/3/1,66.56,81.88,67.6,,,,2021/3/1,61.79,79.29,68.33,,,,2021/3/1,100,100,62.5,,,2021/3/1,50.93,86.11,68.06
2021/3/2,8,6411,57090,,,,,,,,,2021/3/2,66.56,81.88,67.6,,,,2021/3/2,61.79,79.29,68.33,,,,2021/3/2,100,100,62.5,,,2021/3/2,50.93,86.11,68.06
2021/3/3,23,6420,67201,,,,,,,,,2021/3/3,66.56,81.88,67.6,,,,2021/3/3,61.79,79.29,68.33,,,,2021/3/3,100,100,62.5,,,2021/3/3,50.93,86.11,68.06
2021/3/4,19,6644,68057,,,,,,,,,2021/3/4,66.56,81.88,65.52,,,,2021/3/4,61.79,79.29,65.95,,,,2021/3/4,100,100,62.5,,,2021/3/4,50.93,86.11,64.35
2021/3/5,9,6024,66429,,,,,,,,,2021/3/5,66.56,81.88,65.52,,,,2021/3/5,61.79,79.29,65.95,,,,2021/3/5,100,100,62.5,,,2021/3/5,50.93,86.11,64.35
2021/3/6,13,6118,58247,,,,,,,,,2021/3/6,66.56,81.88,65.52,,,,2021/3/6,61.79,79.29,65.95,,,,2021/3/6,100,100,62.5,,,2021/3/6,50.93,86.11,64.35
2021/3/7,13,5260,41075,,,,,,,,,2021/3/7,66.56,81.88,65.52,,,,2021/3/7,61.79,79.29,65.95,,,,2021/3/7,100,100,62.5,,,2021/3/7,50.93,86.11,64.35
2021/3/8,13,4823,44919,,,,,,,,,2021/3/8,66.56,79.79,65.52,,,,2021/3/8,61.79,76.9,65.95,,,,2021/3/8,100,100,62.5,,,2021/3/8,50.93,82.41,64.35
2021/3/9,6,5869,57654,,,,,,,,,2021/3/9,66.56,79.79,65.52,,,,2021/3/9,61.79,76.9,65.95,,,,2021/3/9,100,100,62.5,,,2021/3/9,50.93,82.41,64.35
2021/3/10,10,6021,57908,,,,,,,,,2021/3/10,66.56,79.79,65.52,,,,2021/3/10,61.79,76.9,65.95,,,,2021/3/10,100,100,62.5,,,2021/3/10,50.93,82.41,64.35
2021/3/11,8,6835,62461,,,,,,,,,2021/3/11,66.56,79.79,65.52,,,,2021/3/11,61.79,76.9,65.95,,,,2021/3/11,100,100,62.5,,,2021/3/11,50.93,82.41,64.35
2021/3/12,10,6684,61511,,,,,,,,,2021/3/12,66.56,79.79,65.52,,,,2021/3/12,61.79,76.9,65.95,,,,2021/3/12,100,100,62.5,,,2021/3/12,50.93,82.41,64.35
2021/3/13,8,5617,53029,,,,,,,,,2021/3/13,66.56,77.71,65.52,,,,2021/3/13,61.79,74.52,65.95,,,,2021/3/13,100,100,62.5,,,2021/3/13,50.93,80.56,64.35
2021/3/14,17,4695,38282,,,,,,,,,2021/3/14,66.56,77.71,65.52,,,,2021/3/14,61.79,74.52,65.95,,,,2021/3/14,100,100,62.5,,,2021/3/14,50.93,80.56,64.35
2021/3/15,12,5130,56546,,,,,,,,,2021/3/15,66.56,76.67,65.52,,,,2021/3/15,61.79,73.33,65.95,,,,2021/3/15,100,100,62.5,,,2021/3/15,50.93,78.7,64.35
2021/3/16,11,5363,53993,,,,,,,,,2021/3/16,66.56,76.67,65.52,,,,2021/3/16,61.79,73.33,65.95,,,,2021/3/16,100,100,62.5,,,2021/3/16,50.93,78.7,64.35
2021/3/17,9,5793,59279,,,,,,,,,2021/3/17,66.56,77.92,65.52,,,,2021/3/17,61.79,74.76,65.95,,,,2021/3/17,100,100,62.5,,,2021/3/17,50.93,78.7,64.35
2021/3/18,15,6332,60374,,,,,,,,,2021/3/18,66.56,77.92,65.52,,,,2021/3/18,61.79,74.76,65.95,,,,2021/3/18,100,100,62.5,,,2021/3/18,50.93,78.7,64.35
2021/3/19,15,4872,61666,,,,,,,,,2021/3/19,66.56,77.92,65.52,,,,2021/3/19,61.79,74.76,65.95,,,,2021/3/19,100,100,62.5,,,2021/3/19,50.93,78.7,64.35
2021/3/20,17,5639,55496,,,,,,,,,2021/3/20,66.56,77.92,65.52,,,,2021/3/20,61.79,74.76,65.95,,,,2021/3/20,100,100,62.5,,,2021/3/20,50.93,78.7,64.35
2021/3/21,12,5356,33840,,,,,,,,,2021/3/21,66.56,77.92,65.52,,,,2021/3/21,61.79,74.76,65.95,,,,2021/3/21,100,100,62.5,,,2021/3/21,50.93,78.7,64.35
2021/3/22,12,5407,51433,,,,,,,,,2021/3/22,66.56,77.92,66.56,,,,2021/3/22,61.79,74.76,67.14,,,,2021/3/22,100,100,62.5,,,2021/3/22,50.93,78.7,66.2
2021/3/23,13,5417,53668,,,,,,,,,2021/3/23,66.56,77.92,63.96,,,,2021/3/23,61.79,74.76,64.17,,,,2021/3/23,100,100,62.5,,,2021/3/23,50.93,78.7,61.57
2021/3/24,15,5626,86954,,,,,,,,,2021/3/24,69.06,77.92,63.96,,,,2021/3/24,64.64,74.76,64.17,,,,2021/3/24,100,100,62.5,,,2021/3/24,50.93,78.7,61.57
2021/3/25,17,6277,67549,,,,,,,,,2021/3/25,69.06,77.92,63.96,,,,2021/3/25,64.64,74.76,64.17,,,,2021/3/25,100,100,62.5,,,2021/3/25,50.93,78.7,61.57
2021/3/26,12,6235,77370,,,,,,,,,2021/3/26,69.06,77.92,63.96,,,,2021/3/26,64.64,74.76,64.17,,,,2021/3/26,100,100,62.5,,,2021/3/26,50.93,78.7,61.57
2021/3/27,23,3909,62848,,,,,,,,,2021/3/27,69.06,73.23,63.96,,,,2021/3/27,64.64,69.4,64.17,,,,2021/3/27,100,100,62.5,,,2021/3/27,50.93,70.37,61.57
2021/3/28,12,3947,43220,,,,,,,,,2021/3/28,69.06,73.23,63.96,,,,2021/3/28,64.64,69.4,64.17,,,,2021/3/28,100,100,62.5,,,2021/3/28,50.93,70.37,61.57
2021/3/29,21,4783,69282,,,,,,,,,2021/3/29,69.06,73.23,62.4,,,,2021/3/29,64.64,69.4,62.38,,,,2021/3/29,100,100,62.5,,,2021/3/29,50.93,70.37,58.8
2021/3/30,26,4071,61426,,,,,,,,,2021/3/30,69.06,73.23,62.6,,,,2021/3/30,64.64,69.4,62.62,,,,2021/3/30,100,100,62.5,,,2021/3/30,50.93,70.37,56.94
2021/3/31,34,4115,66769,,,,,,,,,2021/3/31,69.06,73.23,62.6,,,,2021/3/31,64.64,69.4,62.62,,,,2021/3/31,100,100,62.5,,,2021/3/31,50.93,70.37,56.94
2021/4/1,26,4565,79115,,,,,,,,,2021/4/1,69.06,73.23,62.6,,,,2021/4/1,64.64,69.4,62.62,,,,2021/4/1,100,100,62.5,,,2021/4/1,50.93,70.37,56.94
2021/4/2,43,3422,69886,,,,,,,,,2021/4/2,69.06,73.23,62.6,,,,2021/4/2,64.64,69.4,62.62,,,,2021/4/2,100,100,62.5,,,2021/4/2,50.93,70.37,56.94
2021/4/3,18,3424,63258,,,,,,,,,2021/4/3,69.06,73.23,62.6,,,,2021/4/3,64.64,69.4,62.62,,,,2021/4/3,100,100,62.5,,,2021/4/3,50.93,70.37,56.94
2021/4/4,10,2405,35126,,,,,,,,,2021/4/4,69.06,73.23,62.6,,,,2021/4/4,64.64,69.4,62.62,,,,2021/4/4,100,100,62.5,,,2021/4/4,50.93,70.37,56.94
2021/4/5,17,2831,77399,,,,,,,,,2021/4/5,69.06,73.23,62.6,,,,2021/4/5,64.64,69.4,62.62,,,,2021/4/5,100,100,62.5,,,2021/4/5,50.93,70.37,56.94
2021/4/6,24,2404,60690,,,,,,,,,2021/4/6,69.06,73.23,62.6,,,,2021/4/6,64.64,69.4,62.62,,,,2021/4/6,100,100,62.5,,,2021/4/6,50.93,70.37,56.94
2021/4/7,35,2797,75005,,,,,,,,,2021/4/7,69.06,73.23,62.6,,,,2021/4/7,64.64,69.4,62.62,,,,2021/4/7,100,100,62.5,,,2021/4/7,50.93,70.37,56.94
2021/4/8,21,3124,79882,,,,,,,,,2021/4/8,69.06,73.23,62.6,,,,2021/4/8,64.64,69.4,62.62,,,,2021/4/8,100,100,62.5,,,2021/4/8,50.93,70.37,56.94
2021/4/9,26,-4787,82713,,,,,,,,,2021/4/9,69.06,73.23,62.6,,,,2021/4/9,64.64,69.4,62.62,,,,2021/4/9,100,100,62.5,,,2021/4/9,50.93,70.37,56.94
2021/4/10,32,2713,66696,,,,,,,,,2021/4/10,69.06,73.23,62.6,,,,2021/4/10,64.64,69.4,62.62,,,,2021/4/10,100,100,62.5,,,2021/4/10,50.93,70.37,56.94
2021/4/11,20,1730,46506,,,,,,,,,2021/4/11,69.06,73.23,62.6,,,,2021/4/11,64.64,69.4,62.62,,,,2021/4/11,100,100,62.5,,,2021/4/11,50.93,70.37,56.94
2021/4/12,25,3686,70093,,,,,,,,,2021/4/12,69.06,68.02,62.6,,,,2021/4/12,64.64,63.45,62.62,,,,2021/4/12,100,100,62.5,,,2021/4/12,50.93,61.11,56.94
2021/4/13,14,2505,77957,,,,,,,,,2021/4/13,69.06,68.02,62.6,,,,2021/4/13,64.64,63.45,62.62,,,,2021/4/13,100,100,62.5,,,2021/4/13,50.93,61.11,56.94
2021/4/14,27,2529,75413,,,,,,,,,2021/4/14,69.06,68.02,62.6,,,,2021/4/14,64.64,63.45,62.62,,,,2021/4/14,100,100,62.5,,,2021/4/14,50.93,61.11,56.94
2021/4/15,16,2766,74304,,,,,,,,,2021/4/15,69.06,68.02,62.6,,,,2021/4/15,64.64,63.45,62.62,,,,2021/4/15,100,100,62.5,,,2021/4/15,50.93,61.11,56.94
2021/4/16,34,2807,80051,,,,,,,,,2021/4/16,69.06,68.02,62.6,,,,2021/4/16,64.64,63.45,62.62,,,,2021/4/16,100,100,62.5,,,2021/4/16,50.93,61.11,56.94
2021/4/17,39,2273,52546,,,,,,,,,2021/4/17,69.06,68.02,62.6,,,,2021/4/17,64.64,63.45,62.62,,,,2021/4/17,100,100,62.5,,,2021/4/17,50.93,61.11,56.94
2021/4/18,23,1884,42114,,,,,,,,,2021/4/18,69.06,68.02,62.6,,,,2021/4/18,64.64,63.45,62.62,,,,2021/4/18,100,100,62.5,,,2021/4/18,50.93,61.11,56.94
2021/4/19,20,3054,68123,,,,,,,,,2021/4/19,69.06,68.02,63.85,,,,2021/4/19,64.64,63.45,64.05,,,,2021/4/19,100,100,62.5,,,2021/4/19,50.93,61.11,56.94
2021/4/20,14,2530,60941,,,,,,,,,2021/4/20,69.06,68.02,63.85,,,,2021/4/20,64.64,63.45,64.05,,,,2021/4/20,100,100,62.5,,,2021/4/20,50.93,61.11,56.94
2021/4/21,15,2424,62859,,,,,,,,,2021/4/21,69.06,68.02,63.85,,,,2021/4/21,64.64,63.45,64.05,,,,2021/4/21,100,100,62.5,,,2021/4/21,50.93,61.11,56.94
2021/4/22,24,2766,67269,,,,,,,,,2021/4/22,69.06,68.02,63.85,,,,2021/4/22,64.64,63.45,64.05,,,,2021/4/22,100,100,62.5,,,2021/4/22,50.93,61.11,56.94
2021/4/23,39,2754,62405,,,,,,,,,2021/4/23,69.06,68.02,63.85,,,,2021/4/23,64.64,63.45,64.05,,,,2021/4/23,100,100,62.5,,,2021/4/23,50.93,61.11,56.94
2021/4/24,23,2122,53492,,,,,,,,,2021/4/24,69.06,68.02,63.85,,,,2021/4/24,64.64,63.45,64.05,,,,2021/4/24,100,100,62.5,,,2021/4/24,50.93,61.11,56.94
2021/4/25,40,1733,32165,,,,,,,,,2021/4/25,69.06,68.02,63.85,,,,2021/4/25,64.64,63.45,64.05,,,,2021/4/25,100,100,62.5,,,2021/4/25,50.93,61.11,56.94
2021/4/26,45,2119,47566,,,,,,,,,2021/4/26,69.06,68.02,63.85,,,,2021/4/26,64.64,63.45,64.05,,,,2021/4/26,100,100,62.5,,,2021/4/26,50.93,61.11,56.94
2021/4/27,12,2697,50841,,,,,,,,,2021/4/27,69.06,68.02,63.85,,,,2021/4/27,64.64,63.45,64.05,,,,2021/4/27,100,100,62.5,,,2021/4/27,50.93,61.11,56.94
2021/4/28,23,2131,55141,,,,,,,,,2021/4/28,69.06,68.02,63.85,,,,2021/4/28,64.64,63.45,64.05,,,,2021/4/28,100,100,62.5,,,2021/4/28,50.93,61.11,56.94
2021/4/29,35,2459,58255,,,,,,,,,2021/4/29,69.06,68.02,63.85,,,,2021/4/29,64.64,63.45,64.05,,,,2021/4/29,100,100,62.5,,,2021/4/29,50.93,61.11,56.94
2021/4/30,24,2397,57920,,,,,,,,,2021/4/30,69.06,68.02,63.85,,,,2021/4/30,64.64,63.45,64.05,,,,2021/4/30,100,100,62.5,,,2021/4/30,50.93,61.11,56.94
2021/5/1,34,1911,45383,,,,,,,,,2021/5/1,69.06,68.02,63.85,,,,2021/5/1,64.64,63.45,64.05,,,,2021/5/1,100,100,62.5,,,2021/5/1,50.93,61.11,56.94
2021/5/2,39,1674,29404,,,,,,,,,2021/5/2,69.06,68.02,63.85,,,,2021/5/2,64.64,63.45,64.05,,,,2021/5/2,100,100,62.5,,,2021/5/2,50.93,61.11,56.94
2021/5/3,17,1674,50492,,,,,,,,,2021/5/3,69.06,67.24,63.85,,,,2021/5/3,64.64,62.56,64.05,,,,2021/5/3,100,100,62.5,,,2021/5/3,50.93,59.72,56.94
2021/5/4,17,1984,40716,,,,,,,,,2021/5/4,70.1,67.24,63.85,,,,2021/5/4,65.83,62.56,64.05,,,,2021/5/4,100,100,62.5,,,2021/5/4,52.78,59.72,56.94
2021/5/5,16,2155,44713,,,,,,,,,2021/5/5,70.1,67.24,65.1,,,,2021/5/5,65.83,62.56,65.48,,,,2021/5/5,100,100,62.5,,,2021/5/5,52.78,59.72,56.94
2021/5/6,18,2618,47552,,,,,,,,,2021/5/6,70.1,67.24,65.1,,,,2021/5/6,65.83,62.56,65.48,,,,2021/5/6,100,100,62.5,,,2021/5/6,52.78,59.72,56.94
2021/5/7,25,2490,48137,,,,,,,,,2021/5/7,70.1,67.24,65.1,,,,2021/5/7,65.83,62.56,65.48,,,,2021/5/7,100,100,62.5,,,2021/5/7,52.78,59.72,56.94
2021/5/8,20,2056,33676,,,,,,,,,2021/5/8,70.1,67.24,65.1,,,,2021/5/8,65.83,62.56,65.48,,,,2021/5/8,100,100,62.5,,,2021/5/8,52.78,59.72,56.94
2021/5/9,28,1770,21430,,,,,,,,,2021/5/9,70.1,67.24,60.94,,,,2021/5/9,65.83,62.56,62.5,,,,2021/5/9,100,100,50,,,2021/5/9,52.78,59.72,52.31
2021/5/10,19,2378,36804,,,,,,,,,2021/5/10,70.1,67.24,60.94,,,,2021/5/10,65.83,62.56,62.5,,,,2021/5/10,100,100,50,,,2021/5/10,52.78,59.72,52.31
2021/5/11,25,2490,33644,,,,,,,,,2021/5/11,70.1,67.24,60.94,,,,2021/5/11,65.83,62.56,62.5,,,,2021/5/11,100,100,50,,,2021/5/11,52.78,59.72,52.31
2021/5/12,16,2296,35839,,,,,,,,,2021/5/12,70.1,67.24,60.94,,,,2021/5/12,65.83,62.56,62.5,,,,2021/5/12,100,100,50,,,2021/5/12,52.78,59.72,52.31
2021/5/13,34,2663,38076,,,,,,,,,2021/5/13,70.1,67.24,60.94,,,,2021/5/13,65.83,62.56,62.5,,,,2021/5/13,100,100,50,,,2021/5/13,52.78,59.72,52.31
2021/5/14,52,2198,42259,,,,,,,,,2021/5/14,70.1,67.24,60.94,,,,2021/5/14,65.83,62.56,62.5,,,,2021/5/14,100,100,50,,,2021/5/14,52.78,59.72,52.31
2021/5/15,31,2060,28854,,,,,,,,,2021/5/15,70.1,67.24,60.94,,,,2021/5/15,65.83,62.56,62.5,,,,2021/5/15,100,100,50,,,2021/5/15,52.78,59.72,52.31
2021/5/16,49,1926,16887,,,,,,,,,2021/5/16,70.1,67.24,60.94,,,,2021/5/16,65.83,62.56,62.5,,,,2021/5/16,100,100,50,,,2021/5/16,52.78,59.72,52.31
2021/5/17,28,1993,28622,,,,,,,,,2021/5/17,70.1,68.8,60.94,,,,2021/5/17,65.83,64.35,62.5,,,,2021/5/17,100,100,50,,,2021/5/17,52.78,62.5,52.31
2021/5/18,38,-2362,27790,,,,,,,,,2021/5/18,70.1,68.8,60.94,,,,2021/5/18,65.83,64.35,62.5,,,,2021/5/18,100,100,50,,,2021/5/18,52.78,62.5,52.31
2021/5/19,38,2146,29293,,,,,,,,,2021/5/19,73.23,68.8,60.94,,,,2021/5/19,69.4,64.35,62.5,,,,2021/5/19,100,100,50,,,2021/5/19,58.33,62.5,52.31
2021/5/20,41,2699,30208,,,,,,,,,2021/5/20,73.23,68.8,60.94,,,,2021/5/20,69.4,64.35,62.5,,,,2021/5/20,100,100,50,,,2021/5/20,58.33,62.5,52.31
2021/5/21,40,2708,27952,,,,,,,,,2021/5/21,73.23,68.8,60.94,,,,2021/5/21,69.4,64.35,62.5,,,,2021/5/21,100,100,50,,,2021/5/21,58.33,62.5,52.31
2021/5/22,29,2524,19799,,,,,,,,,2021/5/22,73.23,68.8,60.94,,,,2021/5/22,69.4,64.35,62.5,,,,2021/5/22,100,100,50,,,2021/5/22,58.33,62.5,52.31
2021/5/23,25,2093,12866,,,,,,,,,2021/5/23,73.23,68.8,60.94,,,,2021/5/23,69.4,64.35,62.5,,,,2021/5/23,100,100,50,,,2021/5/23,58.33,62.5,46.76
2021/5/24,36,2370,25819,,,,,,,,,2021/5/24,73.23,68.8,60.94,,,,2021/5/24,69.4,64.35,62.5,,,,2021/5/24,100,100,50,,,2021/5/24,58.33,62.5,46.76
2021/5/25,30,2417,22739,,,,,,,,,2021/5/25,73.23,68.8,60.94,,,,2021/5/25,69.4,64.35,62.5,,,,2021/5/25,100,100,50,,,2021/5/25,58.33,62.5,46.76
2021/5/26,26,2991,23972,,,,,,,,,2021/5/26,73.23,68.8,60.94,,,,2021/5/26,69.4,64.35,62.5,,,,2021/5/26,100,100,50,,,2021/5/26,58.33,62.5,46.76
2021/5/27,24,3384,27454,,,,,,,,,2021/5/27,73.23,68.8,60.94,,,,2021/5/27,69.4,64.35,62.5,,,,2021/5/27,100,100,50,,,2021/5/27,58.33,62.5,46.76
2021/5/28,30,4030,21858,,,,,,,,,2021/5/28,73.23,68.8,60.94,,,,2021/5/28,69.4,64.35,62.5,,,,2021/5/28,100,100,50,,,2021/5/28,58.33,62.5,46.76
2021/5/29,33,3241,11999,,,,,,,,,2021/5/29,73.23,68.8,60.94,,,,2021/5/29,69.4,64.35,62.5,,,,2021/5/29,100,100,50,,,2021/5/29,58.33,62.5,46.76
2021/5/30,25,3114,6733,,,,,,,,,2021/5/30,73.23,68.8,60.94,,,,2021/5/30,69.4,64.35,62.5,,,,2021/5/30,100,100,50,,,2021/5/30,58.33,62.5,46.76
